"","Label","Time","Time_Flux"
"85","S3P1.C1","Flux",0.00759
"86","S3P3.C1","time",-0.50073
"87","S3P3.C1","Flux",-0.00116
"88","S3P5.C1","time",-0.49064
"89","S3P5.C1","Flux",0.00247
"90","S1P2.C2","time",-1.55703
"91","S1P2.C2","Flux",-0.02429
"92","S1P4.C2","time",-0.45006
"93","S1P6.C2","time",-0.45031
"94","S2P8.C2","time",-0.42174
"95","S2P4.C2","time",-0.46752
"96","S2P4.C2","Flux",-0.02011
"97","S2P6.C2","time",-0.43634
"98","S3P2.C2","time",-0.46197
"99","S3P4.C2","time",-0.44331
"100","S3P6.C2","time",-0.47203
"101","S1P1.C1","time",-0.40397
"102","S1P3.C1","time",-0.39222
"103","S1P5.C1","time",-1.54294
"104","S1P5.C1","Flux",0.0174
"105","S2P1.C1","time",-0.42139
"106","S2P3.C1","time",-0.37838
"107","S2P7.C1","time",-0.38259
"108","S3P1.C1","time",-0.47201
"109","S3P1.C1","Flux",0.00481
"110","S3P3.C1","time",-0.42591
"111","S3P5.C1","time",-0.41598
"112","S1P2.C2","time",-1.54275
"113","S1P2.C2","Flux",0.0032
"114","S1P4.C2","time",-0.37525
"115","S1P6.C2","time",-0.36352
"116","S2P8.C2","time",-0.347
"117","S2P4.C2","time",-0.39267
"118","S2P6.C2","time",-0.3615
"119","S3P2.C2","time",-0.38734
"120","S3P4.C2","time",-0.36851
"121","S3P6.C2","time",-0.39722
"122","S1P1.C1","time",-0.32916
"123","S1P3.C1","time",-0.30537
"124","S1P5.C1","time",-1.52872
"125","S1P5.C1","Flux",0.09321
"126","S2P1.C1","time",-0.34657
"127","S2P3.C1","time",-0.30354
"128","S2P7.C1","time",-0.30787
"129","S3P1.C1","time",-0.3972
"130","S3P3.C1","time",-0.35117
"131","S3P5.C1","time",-0.34138
"132","S1P2.C2","time",-1.52853
"133","S1P2.C2","Flux",-0.02758
"134","S1P4.C2","time",-0.30044
"135","S1P6.C2","time",-0.27668
"136","S1P6.C2","Flux",0.00264
"137","S2P8.C2","time",-0.27227
"138","S2P8.C2","Flux",0.00101
"139","S2P4.C2","time",-0.31791
"140","S2P6.C2","time",-0.28663
"141","S2P6.C2","Flux",0.00495
"142","S3P2.C2","time",-0.31274
"143","S3P4.C2","time",-0.29367
"144","S3P4.C2","Flux",-0.02749
"145","S3P6.C2","time",-0.32248
"146","S1P1.C1","time",-0.25434
"147","S1P1.C1","Flux",0.0081
"148","S1P3.C1","time",-0.21856
"149","S1P3.C1","Flux",0.00817
"150","S1P5.C1","time",-1.51449
"151","S1P5.C1","Flux",-0.03828
"152","S2P1.C1","time",-0.27181
"153","S2P1.C1","Flux",-0.00526
"154","S2P3.C1","time",-0.22868
"155","S2P3.C1","Flux",-0.00778
"156","S2P7.C1","time",-0.23316
"157","S2P7.C1","Flux",0.00239
"158","S3P1.C1","time",-0.32236
"159","S3P3.C1","time",-0.27639
"160","S3P3.C1","Flux",-0.01523
"161","S3P5.C1","time",-0.26672
"162","S3P5.C1","Flux",0.00452
"163","S1P2.C2","time",-1.51431
"164","S1P2.C2","Flux",-0.0171
"165","S1P4.C2","time",-0.22564
"166","S1P4.C2","Flux",0.0023
"167","S1P6.C2","time",-0.18968
"168","S1P6.C2","Flux",-0.0057
"169","S2P8.C2","time",-0.19753
"170","S2P8.C2","Flux",-0.00677
"171","S2P4.C2","time",-0.24313
"172","S2P4.C2","Flux",0.0015
"173","S2P6.C2","time",-0.21178
